ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
,Credits.,,,,,,,
0,,the conduit#has been broken,der leiter#wurde zerstört,le conduit#s'est brisé,el conducto#se ha roto,o conduíte#foi quebrado,проводник#уничтожен,接続装置が#破壊された
,General credits.,,,,,,,
1,,-programming-,-programmierer-,-programmation-,-programación-,-programação-,-программирование-,-プログラミング-
2,,-art and direction-,-grafik und leitung-,-art et réalisation-,-arte y dirección-,-arte e direção-,-арт и режиссура-,-アート、制作指揮-
3,,-music and sfx-,-musik und sounds-,-musique et effets sonores-,-música y efectos-,-música e efeitos sonoros-,-музыка и звуки-,-音楽、効果音-
4,,-splash art-,-splash art-,-splash art-,-ilustraciones-,-splash art-,-заставки-,-スプラッシュアート-
5,,--special thanks--,--ein danke schön an--,--remerciements--,--agradecimientos--,--agradecimentos especiais--,--особая благодарность--,--スペシャルサンクス--
,UFF credit.,,,,,,,
6,,and all the users,und alle,et tous les utilisateurs,y todos los usuarios,e a todos os usuários,и всем пользователям,そしてUTFフォーラムの
7,,of the uff forums,uff forumbenutzer,des forums uff,de los foros uff,dos fóruns uff,форумов uff,ユーザーのみなさま
,AGDG credit.,,,,,,,
8,,and all the,und alle yesdevs,et tous les,y todos los,e a todos os,и всем,そして
9,,aspiring yesdevs,der /agdg/,développeurs futurs,desarrolladores,aspirantes a yesdevs,начинающим yesdevs,/agdg/の
10,,of /agdg/,,de /agdg/,de /agdg/,de /agdg/,из /agdg/,意欲的なyesdevsのみなさま
,Indie bros.,,,,,,,
11,,erik johnson,erik johnson,erik johnson,erik johnson,erik johnson,erik johnson,erik johnson
12,,and the,und das,et l'équipe de,y el,e a,и команде,と
13,,indie bros team,indie bros team,développement indé,equipo de indie bros,equipe da indie bros,indie bros team,indie bros team
,Gamers.,,,,,,,
14,,all the people,alle demospieler,toutes les personnes,todos los que,todas as pessoas,всем тем,デモ版をプレイして
15,,who played the demo,und fans,qui ont joué à la démo,probaron la demo,que jogaram a demo,кто играл в демо,拡散していただいた
16,,and spread the word,,et fait passer le mot,y corrieron la voz,e espalharam a palavra,и рассказал другим,みなさま
,Others.,,,,,,,
17,,many more,viele mehr,beaucoup d'autres,a muchos otros,a muitos outros,и многим другим,その他多くのみなさま
,You.,,,,,,,
18,,and you,und du,et à toi,y a ti,e você,и тебе,画面の前のあなた
19,,-thank you for playing-,-vielen dank für das spielen-,-merci d'avoir joué-,-gracias por jugar-,-obrigado por jogar-,-спасибо за игру-,-プレイしていただきありがとうございます-
,Special.,,,,,,,
20,,-you've done your best-,-du hast dein bestes getan-,-tu as fait de ton mieux-,-lo has dado todo-,-você deu o seu melhor-,-ты сделал всё что мог-,-あなたはベストを尽くしました-
,The ends.,,,,,,,
21,,the end,ende,fin,fin,o fim,конец,終わり
22,,the end?,ende?,fin ?,¿fin?,o fim?,конец?,終わり？
,Publisher.,,,,,,,
23,,-published by-,-publiziert von-,-édité par-,-publicado por-,-publicado por-,-издано-,-販売-
,Localizing,,,,,,,
24,,-localization-,-übersetzung-,-localisation-,-localización-,-localização-,-локализация-,-翻訳-
,Q&A,,,,,,,
25,,-quality assurance-,-qualitätskontrolle-,-assurance qualité-,-control de calidad-,-garantia de qualidade-,-контроль качества-,-品質保証-
,Intro.,,,,,,,
26,,a game by,ein spiel von,un jeu de,un juego de,um jogo de,игра от,開発
27,,music by,musik von,musique de,música de,música de,музыка от,音楽
,,,,,,,,
28,,long ago,vor langer zeit,"jadis,","dicen que, hace mucho...",há muito tempo,давным-давно,その昔
29,,an old facility was rumored to hold fantastic technology,hielt eine einrichtung fantastische technologien,un vieil établissement abritait soi-disant une formidable technologie,unas viejas instalaciones contenían tecnología fantástica,rumores diziam que uma antiga instalação continha uma tecnologia fantástica,говорят, в старом объекте хранились фантастические технологии,ある廃墟となった施設にはこんな言い伝えがあった
30,,"powered by an enigmatic source, somewhere within",angetrieben von einer geheimen quelle in dem inneren,"alimentée par une mystérieuse source, quelque part dans","alimentada por una fuente enigmática, oculta","alimentada por uma fonte enigmática, em algum lugar dentro","питаемые загадочным источником, где-то внутри",そこでは途方もない技術が、どこかにある
31,,a well of power eternal,ein brunnen endloser macht,un puits de pouvoir éternel,en un pozo de poder eterno.,de um poço de poder eterno,колодцем вечной силы,「永遠の力」からもたらされているのだという
32,,"dormant for ages, its doors have opened anew","für eine ewigkeit dormant, öffnen sich dessen türe","en sommeil depuis une éternité, ses portes se sont rouvertes","tras siglos dormidas, han reabierto sus puertas","adormecida por eras, suas portas se abriram novamente","дремавший веками, он вновь открыл двери",長き眠りを経て、その扉は今再び開き
33,,and welcome,und willkommen,et il accueille,y acogen,e deram as boas-vindas,и встречает,来訪者たちを
34,,the visitors,die besucher,les visiteurs,a los visitantes.,aos visitantes,гостей,迎え入れる
,Special Translation.,,,,,,,
35,,-japanese translation-,-japanische übersetzung-,-traduction japonaise-,-traducción al japonés-,-tradução japonesa-,-японский перевод-,-日本語翻訳-
,Fonts.,,,,,,,
36,,-fonts used-,-schriftarten benutzt-,-polices utilisées-,-fuentes utilizadas-,-tipos de letra usados-,-шрифты-,-使用フォント-
