ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
,Make sure the entire array is filled with this first.,,,,,,,
0,,ended by#%deathsource,verendet durch #%deathsource,achevé par #%deathsource,eliminación por #%deathsource,eliminado por #%deathsource,ended by#%deathsource,%deathsource#の前に力尽きた
35,,defeated by#%deathsource,besiegt von #%deathsource,vaincu par #%deathsource,derrota por #%deathsource,derrotado por #%deathsource,defeated by#%deathsource,%deathsource#に敗北した
36,,consumed by#%deathsource,verendet durch #%deathsource,consommé par #%deathsource,consumición por #%deathsource,consumido por #%deathsource,consumed by#%deathsource,%deathsource#に消費された
38,,hacked by#%deathsource,gehackt durch #%deathsource,piraté par #%deathsource,hackeo por #%deathsource,hackeado por #%deathsource,hacked by#%deathsource,%deathsource#にハックされた
51,,devoured by#%deathsource,verschlungen von #%deathsource,dévoré par #%deathsource,has sido pasto de #%deathsource,devorado por #%deathsource,devoured by#%deathsource,%deathsource#に喰われた
67,,somehow ended#%deathsource,irgendwie verendet durch #%deathsource,bizarrement achevé par #%deathsource,muerte rara por #%deathsource,eliminado de alguma forma por #%deathsource,somehow ended#%deathsource,なぜだか%deathsource#の前に力尽きた
74,,harvested by#%deathsource,geerntet durch #%deathsource,cueilli par #%deathsource,te ha cosechado #%deathsource,colhido por #%deathsource,harvested by#%deathsource,%deathsource#に収集された
139,,harvested by#%deathsource,geerntet durch #%deathsource,cueilli par #%deathsource,te ha cosechado #%deathsource,colhido por #%deathsource,harvested by#%deathsource,%deathsource#に収集された
93,,flattened by#%deathsource,zerquetscht durch #%deathsource,aplati par #%deathsource,aplastamiento por #%deathsource,esmagado por #%deathsource,flattened by#%deathsource,%deathsource#に押しつぶされた
100,,incinerated by#%deathsource,kremiert durch #%deathsource,incinéré par #%deathsource,incineración por #%deathsource,incinerado por #%deathsource,incinerated by#%deathsource,%deathsource#に焼き尽くされた
102,,sold out by#%deathsource,ausverkauft durch #%deathsource,vendu par #%deathsource,venta por #%deathsource,esgotado por #%deathsource,sold out by#%deathsource,%deathsource#に売却された
133,,judged by#%deathsource,gerichtet von #%deathsource,jugé par #%deathsource,sentencia por #%deathsource,julgado por #%deathsource,judged by#%deathsource,%deathsource#に裁かれた
148,,butchered by#%deathsource,zerstückelt durch #%deathsource,massacré par #%deathsource,sacrificio por #%deathsource,massacrado por #%deathsource,butchered by#%deathsource,%deathsource#に解体された
167,,erased by#%deathsource,gelöscht durch #%deathsource,effacé par #%deathsource,aniquilación por #%deathsource,aniquilado por #%deathsource,erased by#%deathsource,%deathsource#に削除された
179,,whacked by#%deathsource,eingesackt durch #%deathsource,frappé par #%deathsource,golpe de #%deathsource,arrasado por #%deathsource,whacked by#%deathsource,%deathsource#に打ち倒された
189,,reaped by#%deathsource,dem tode geweiht durch #%deathsource,fauché par #%deathsource,te ha segado #%deathsource,ceifado por #%deathsource,reaped by#%deathsource,%deathsource#に刈り取られた
222,,destroyed by#%deathsource,zerstört durch #%deathsource,détruit par #%deathsource,destrucción por #%deathsource,destruído por #%deathsource,destroyed by#%deathsource,%deathsource#に破壊された
238,,executed by#%deathsource,gerichtet von #%deathsource,exécuté par #%deathsource,ejecución por #%deathsource,executado por #%deathsource,executed by#%deathsource,%deathsource#に処刑された
240,,expurged by#%deathsource,verbannt von #%deathsource,expurgé par #%deathsource,expurgación por #%deathsource,expurgado por #%deathsource,expurged by#%deathsource,%deathsource#に排除された
250,,never woke from a#%deathsource,nie erwacht von #%deathsource,ne s'est jamais réveillé d'un #%deathsource,nunca despiertas de #%deathsource,nunca acorda de um #%deathsource,never woke from a#%deathsource,%deathsource#から目覚めることはなかった
253,,erased by#%deathsource,gelöscht durch #%deathsource,effacé par #%deathsource,aniquilación por #%deathsource,aniquilado por #%deathsource,erased by#%deathsource,%deathsource#に削除された
